Bytes,Status,Voltage,PAI,Counter,SPO2,Heart_Rate,Time_Stamp
10,True,33,120,300,96,115,2020-05-21-16-48-20,C1
10,True,33,162,301,96,113,2020-05-21-16-48-21,C1
10,True,33,142,302,95,113,2020-05-21-16-48-22,C1
10,True,33,164,303,95,113,2020-05-21-16-48-23,C1
10,True,33,142,304,95,112,2020-05-21-16-48-24,C1
10,True,33,146,305,95,112,2020-05-21-16-48-25,C1
10,True,33,136,306,96,113,2020-05-21-16-48-26,C1
10,True,33,118,307,96,116,2020-05-21-16-48-27,C1
10,True,33,114,308,96,119,2020-05-21-16-48-28,C1
10,True,33,84,309,96,121,2020-05-21-16-48-29,C1
10,True,33,116,310,96,123,2020-05-21-16-48-30,C1
10,True,33,116,311,96,123,2020-05-21-16-48-31,C1
10,True,33,112,312,95,123,2020-05-21-16-48-32,C1
10,True,33,112,313,95,122,2020-05-21-16-48-33,C1
10,True,33,106,314,95,121,2020-05-21-16-48-34,C1
10,True,33,114,315,95,120,2020-05-21-16-48-35,C1
10,True,33,128,316,95,117,2020-05-21-16-48-36,C1
10,True,33,108,317,95,115,2020-05-21-16-48-37,C1
10,True,33,98,318,95,114,2020-05-21-16-48-38,C1
10,True,33,148,319,95,114,2020-05-21-16-48-39,C1
10,True,33,110,320,95,114,2020-05-21-16-48-40,C1
10,True,33,130,321,95,114,2020-05-21-16-48-41,C1
10,True,33,152,322,95,114,2020-05-21-16-48-42,C1
10,True,33,88,323,95,114,2020-05-21-16-48-43,C1
10,True,33,136,324,96,114,2020-05-21-16-48-44,C1
10,True,33,124,325,96,113,2020-05-21-16-48-45,C1
10,True,33,164,326,96,111,2020-05-21-16-48-46,C1
10,True,33,134,327,95,111,2020-05-21-16-48-47,C1
10,True,33,130,328,95,111,2020-05-21-16-48-48,C1
10,True,33,158,329,95,112,2020-05-21-16-48-49,C1
10,True,33,136,330,95,112,2020-05-21-16-48-50,C1
10,True,33,128,331,95,113,2020-05-21-16-48-51,C1
10,True,33,148,332,95,113,2020-05-21-16-48-52,C1
10,True,33,130,333,95,113,2020-05-21-16-48-53,C1
10,True,33,132,334,96,114,2020-05-21-16-48-54,C1
10,True,33,142,335,96,114,2020-05-21-16-48-55,C1
10,True,33,134,336,96,115,2020-05-21-16-48-56,C1
10,True,33,114,337,96,117,2020-05-21-16-48-57,C1
10,True,33,134,338,96,117,2020-05-21-16-48-58,C1
10,True,33,102,339,96,117,2020-05-21-16-48-59,C1
10,True,33,118,340,97,116,2020-05-21-16-49-00,C1
10,True,33,118,341,97,113,2020-05-21-16-49-01,C1
10,True,33,130,342,97,111,2020-05-21-16-49-02,C1
10,True,33,154,343,96,110,2020-05-21-16-49-03,C1
10,True,33,144,344,96,110,2020-05-21-16-49-04,C1
10,True,33,118,345,96,110,2020-05-21-16-49-05,C1
10,True,33,138,346,97,109,2020-05-21-16-49-06,C1
10,True,33,130,347,97,109,2020-05-21-16-49-07,C1
10,True,33,128,348,97,110,2020-05-21-16-49-08,C1
10,True,33,162,349,97,110,2020-05-21-16-49-09,C1
10,True,33,142,350,97,111,2020-05-21-16-49-10,C1
10,True,33,136,351,96,111,2020-05-21-16-49-11,C1
10,True,33,142,352,96,111,2020-05-21-16-49-12,C1
10,True,33,130,353,96,112,2020-05-21-16-49-13,C1
10,True,33,152,354,96,112,2020-05-21-16-49-14,C1
10,True,33,138,355,96,112,2020-05-21-16-49-15,C1
10,True,33,158,356,95,113,2020-05-21-16-49-16,C1
10,True,33,152,357,96,113,2020-05-21-16-49-17,C1
10,True,33,146,358,96,114,2020-05-21-16-49-18,C1
10,True,33,158,359,96,114,2020-05-21-16-49-19,C1
10,True,33,152,360,96,115,2020-05-21-16-49-20,C1
10,True,33,122,361,96,115,2020-05-21-16-49-21,C1
10,True,33,138,362,96,116,2020-05-21-16-49-22,C1
