Bytes,Status,Voltage,PAI,Counter,SPO2,Heart_Rate,Time_Stamp
10,True,33,0,6,127,511,2019-10-22-00-39-55
10,True,33,0,7,127,511,2019-10-22-00-39-56
10,True,33,0,8,127,511,2019-10-22-00-39-57
10,True,33,0,9,127,511,2019-10-22-00-39-58
10,True,33,0,10,127,511,2019-10-22-00-39-59
10,True,33,0,11,127,511,2019-10-22-00-40-00
10,True,33,0,12,127,511,2019-10-22-00-40-01
10,True,33,0,13,127,511,2019-10-22-00-40-02
10,True,33,0,14,127,511,2019-10-22-00-40-03
10,True,33,0,15,127,511,2019-10-22-00-40-04
10,True,33,0,16,127,511,2019-10-22-00-40-05
10,True,33,0,17,127,511,2019-10-22-00-40-06
10,True,33,0,18,127,511,2019-10-22-00-40-07
10,True,33,0,19,127,511,2019-10-22-00-40-08
10,True,33,0,20,127,511,2019-10-22-00-40-09
10,True,33,0,21,127,511,2019-10-22-00-40-10
10,True,33,0,22,127,511,2019-10-22-00-40-11
10,True,33,0,23,127,511,2019-10-22-00-40-12
10,True,33,0,24,127,511,2019-10-22-00-40-13
10,True,33,0,25,127,511,2019-10-22-00-40-14
10,True,33,0,26,127,511,2019-10-22-00-40-15
10,True,33,0,27,127,511,2019-10-22-00-40-16
10,True,33,0,28,127,511,2019-10-22-00-40-17
10,True,33,0,29,127,511,2019-10-22-00-40-18
10,True,33,0,30,127,511,2019-10-22-00-40-19
10,True,33,0,31,127,511,2019-10-22-00-40-20
10,True,33,0,32,127,511,2019-10-22-00-40-21
10,True,33,0,33,127,511,2019-10-22-00-40-22
10,True,33,0,34,127,511,2019-10-22-00-40-23
10,True,33,0,35,127,511,2019-10-22-00-40-24
10,True,33,0,36,127,511,2019-10-22-00-40-25
10,True,33,0,37,127,511,2019-10-22-00-40-26
10,True,33,0,38,127,511,2019-10-22-00-40-27
10,True,33,0,39,127,511,2019-10-22-00-40-28
10,True,33,0,40,127,511,2019-10-22-00-40-29
10,True,33,0,41,127,511,2019-10-22-00-40-30
10,True,33,0,42,127,511,2019-10-22-00-40-31
10,True,33,0,43,127,511,2019-10-22-00-40-32
10,True,33,0,44,127,511,2019-10-22-00-40-33
10,True,33,0,45,127,511,2019-10-22-00-40-34
10,True,33,0,46,127,511,2019-10-22-00-40-35
10,True,33,0,47,127,511,2019-10-22-00-40-36
10,True,33,0,48,127,511,2019-10-22-00-40-37
10,True,33,0,49,127,511,2019-10-22-00-40-38
10,True,33,0,50,127,511,2019-10-22-00-40-39
10,True,33,0,51,127,511,2019-10-22-00-40-40
10,True,33,58,52,127,511,2019-10-22-00-40-41
10,True,33,82,53,127,511,2019-10-22-00-40-42
10,True,33,48,54,100,511,2019-10-22-00-40-43
10,True,33,48,55,100,511,2019-10-22-00-40-44
10,True,33,56,56,100,102,2019-10-22-00-40-45
10,True,33,58,57,98,102,2019-10-22-00-40-46
10,True,33,72,58,98,102,2019-10-22-00-40-47
10,True,33,72,59,98,102,2019-10-22-00-40-48
10,True,33,72,60,98,101,2019-10-22-00-40-49
10,True,33,76,61,98,103,2019-10-22-00-40-50
10,True,33,62,62,98,105,2019-10-22-00-40-51
10,True,33,58,63,98,108,2019-10-22-00-40-52
10,True,33,60,64,98,109,2019-10-22-00-40-53
10,True,33,74,65,99,109,2019-10-22-00-40-54
