Bytes,Status,Voltage,PAI,Counter,SPO2,Heart_Rate,Time_Stamp
10,True,33,162,374,127,511,2019-11-04-16-18-15
10,True,33,146,375,98,173,2019-11-04-16-18-16
10,True,33,126,376,97,171,2019-11-04-16-18-17
10,True,33,136,377,98,168,2019-11-04-16-18-18
10,True,33,136,378,97,166,2019-11-04-16-18-19
10,True,33,154,379,97,164,2019-11-04-16-18-20
10,True,33,152,380,97,162,2019-11-04-16-18-21
10,True,33,128,381,97,160,2019-11-04-16-18-22
10,True,33,128,382,96,158,2019-11-04-16-18-23
10,True,33,132,383,96,157,2019-11-04-16-18-23
10,True,33,166,384,96,157,2019-11-04-16-18-25
10,True,33,162,385,96,156,2019-11-04-16-18-26
10,True,33,212,386,96,156,2019-11-04-16-18-27
10,True,33,266,387,96,156,2019-11-04-16-18-28
10,True,33,226,388,96,156,2019-11-04-16-18-29
10,True,33,126,389,95,157,2019-11-04-16-18-30
10,True,33,112,390,96,158,2019-11-04-16-18-31
10,True,33,112,391,96,158,2019-11-04-16-18-32
10,True,33,112,392,96,159,2019-11-04-16-18-33
10,True,33,112,393,96,159,2019-11-04-16-18-34
10,True,33,112,394,96,159,2019-11-04-16-18-35
10,True,33,156,395,96,161,2019-11-04-16-18-36
10,True,33,148,396,97,164,2019-11-04-16-18-37
10,True,33,132,397,98,169,2019-11-04-16-18-38
10,True,33,120,398,98,171,2019-11-04-16-18-39
10,True,33,132,399,99,172,2019-11-04-16-18-40
10,True,33,112,400,99,172,2019-11-04-16-18-41
10,True,33,140,401,99,173,2019-11-04-16-18-42
10,True,33,122,402,99,173,2019-11-04-16-18-43
10,True,33,128,403,99,173,2019-11-04-16-18-44
10,True,33,128,404,99,173,2019-11-04-16-18-45
10,True,33,128,405,99,173,2019-11-04-16-18-46
10,True,33,128,406,99,173,2019-11-04-16-18-47
10,True,33,128,407,99,173,2019-11-04-16-18-48
10,True,33,128,408,99,173,2019-11-04-16-18-49
10,True,33,128,409,99,173,2019-11-04-16-18-50
10,True,33,120,410,98,173,2019-11-04-16-18-51
10,True,33,132,411,98,173,2019-11-04-16-18-52
10,True,33,132,412,98,171,2019-11-04-16-18-53
10,True,33,132,413,98,168,2019-11-04-16-18-54
10,True,33,146,414,98,168,2019-11-04-16-18-55
10,True,33,230,415,98,168,2019-11-04-16-18-56
10,True,33,216,416,98,168,2019-11-04-16-18-57
10,True,33,242,417,98,168,2019-11-04-16-18-58
10,True,33,182,418,98,168,2019-11-04-16-18-59
10,True,33,170,419,98,168,2019-11-04-16-19-00
10,True,33,160,420,98,168,2019-11-04-16-19-01
10,True,33,160,421,98,168,2019-11-04-16-19-02
10,True,33,160,422,98,168,2019-11-04-16-19-02
10,True,33,160,423,98,168,2019-11-04-16-19-04
10,True,33,160,424,98,168,2019-11-04-16-19-05
10,True,33,160,425,98,168,2019-11-04-16-19-06
10,True,33,250,426,98,168,2019-11-04-16-19-07
10,True,33,312,427,98,168,2019-11-04-16-19-08
10,True,33,312,428,98,168,2019-11-04-16-19-09
10,True,33,312,429,98,168,2019-11-04-16-19-10
10,True,33,312,430,127,511,2019-11-04-16-19-11
10,True,33,324,431,127,511,2019-11-04-16-19-12
10,True,33,324,432,127,511,2019-11-04-16-19-13
10,True,33,360,433,127,511,2019-11-04-16-19-14
10,True,33,360,434,127,511,2019-11-04-16-19-15
10,True,33,360,435,127,511,2019-11-04-16-19-16
